Season;Year;Month;value;Source;link
2009-2010;2010;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Enero;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Febrero;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Marzo;600;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Abril;500;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Mayo;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Enero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Febrero;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Marzo;600;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Abril;600;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Mayo;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Diciembre;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Enero;125;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Febrero;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Marzo;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Abril;125;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Mayo;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Enero;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Febrero;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Marzo;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Abril;600;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Mayo;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Enero;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Febrero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Marzo;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Abril;250;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Mayo;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Enero;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Febrero;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Marzo;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Abril;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Mayo;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Enero;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Febrero;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Marzo;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Abril;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Mayo;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Enero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Febrero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Marzo;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Abril;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Mayo;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Enero;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Febrero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Marzo;225;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Abril;400;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Mayo;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Diciembre;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Enero;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Febrero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Marzo;225;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Abril;175;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Mayo;300;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Diciembre;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Enero;75;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Febrero;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Marzo;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Abril;125;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Mayo;;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Enero;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Febrero;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Marzo;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Abril;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Mayo;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Enero;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Febrero;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Marzo;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Abril;200;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Mayo;150;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Diciembre;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Enero;50;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Febrero;100;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Marzo;;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Abril;;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Mayo;;Espesores Maximos ;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Enero;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Febrero;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Marzo;72;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Abril;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2009-2010;2010;Mayo;32;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Diciembre;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Enero;97;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Febrero;103;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Marzo;104;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Abril;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2010-2011;2011;Mayo;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Diciembre;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Enero;62;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Febrero;85;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Marzo;83;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Abril;51;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2011-2012;2012;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Diciembre;15;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Enero;51;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Febrero;103;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Marzo;90;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Abril;103;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2012-2013;2013;Mayo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Diciembre;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Enero;48;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Febrero;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Marzo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Abril;80;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2013-2014;2014;Mayo;42;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Enero;61;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Febrero;32;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Marzo;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Abril;95;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2014-2015;2015;Mayo;22;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Enero;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Febrero;21;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Marzo;45;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Abril;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2015-2016;2016;Mayo;25;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Diciembre;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Enero;100;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Febrero;98;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Marzo;90;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Abril;80;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2016-2017;2017;Mayo;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Diciembre;2;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Enero;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Febrero;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Marzo;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Abril;110;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2017-2018;2018;Mayo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Diciembre;45;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Enero;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Febrero;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Marzo;105;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Abril;100;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2018-2019;2019;Mayo;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Diciembre;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Enero;52;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Febrero;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Marzo;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Abril;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2019-2020;2020;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Enero;10;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Febrero;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Marzo;70;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Abril;75;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2020-2021;2021;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Diciembre;12;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Enero;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Febrero;55;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Marzo;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Abril;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2021-2022;2022;Mayo;;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Enero;28;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Febrero;62;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Marzo;75;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Abril;38;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2022-2023;2023;Mayo;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Diciembre;0;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Enero;15;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Febrero;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Marzo;50;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Abril;20;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2024;Mayo;19;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2023-2024;2025;Diciembre;5;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Enero;15;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Febrero;40;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Marzo;60;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Abril;108;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
2024-2025;2025;Mayo;30;Kilometros Abiertos;https://www.infonieve.es/estacion-esqui/sierra-nevada/historico-nieve/comparativa
